X1,X2,X3,X4,Y
1.127977,1.514858,1.098773,0.605022,0
1.316578,1.225637,0.483933,0.621785,0
1.86439,1.836977,0.712341,-0.008974,0
1.512873,1.766094,0.995498,0.334808,0
1.32593,0.992217,0.248931,0.440195,0
1.558197,1.220907,0.063116,0.950018,0
1.146829,1.283845,0.837134,0.459901,0
1.559519,1.630361,0.668514,0.550185,0
1.634728,1.620098,0.619924,0.367307,0
1.270381,1.219113,0.626773,0.408344,0
1.419181,1.385233,0.587143,0.505385,0
1.50285,1.355525,0.457475,0.54677,0
1.804152,1.715401,0.484825,0.529946,0
1.558285,1.66049,0.619652,0.920388,0
1.484555,1.52965,0.671174,0.596029,0
1.176921,1.266805,0.739813,0.547711,0
1.349477,1.395212,0.557149,0.964575,0
1.329915,0.82467,-0.044702,0.716351,0
1.410391,1.562207,0.758288,0.669331,0
1.399257,1.199148,0.292821,0.807729,0
1.5047,1.425678,0.445785,0.797154,0
1.195167,1.282772,0.587188,1.033366,0
1.751691,1.894571,0.663314,0.900203,0
1.68661,1.642488,0.622847,0.227978,0
1.633355,1.817707,0.76773,0.751139,0
1.459631,1.250764,0.411551,0.342701,0
1.962549,1.945756,0.671954,0.088196,0
1.231845,1.189072,0.474269,0.914763,0
1.378911,1.409333,0.64914,0.592749,0
1.004534,0.904944,0.41307,0.903312,0
1.129399,1.280964,0.736787,0.899602,0
1.575019,1.856919,0.806127,1.027489,0
1.749166,1.300868,-0.036742,0.797202,0
1.510036,1.40931,0.333929,1.002669,0
1.298539,1.349844,0.649123,0.566137,0
1.192365,1.106592,0.482802,0.717611,0
1.616659,1.864753,0.834381,0.822645,0
1.816647,1.915674,0.685746,0.553085,0
1.30101,1.439663,0.836143,0.333689,0
1.341111,1.558929,0.729698,1.148223,0
1.165949,1.245708,0.766616,0.395079,0
1.359232,1.20255,0.306292,0.886258,0
1.07018,1.279681,0.682466,1.242951,0
1.410455,1.313878,0.460618,0.671602,0
1.09918,1.423122,0.941503,0.851983,0
1.526248,1.353958,0.431887,0.511833,0
1.871773,2.010703,0.824885,0.343224,0
1.249421,1.16238,0.55656,0.412347,0
1.599449,1.446663,0.410765,0.583008,0
1.140679,1.20101,0.746546,0.445918,0
