X1,X2,X3,X4,Y
-0.413826,2.580503,-0.227495,2.713445,0
-0.287467,2.792628,-0.562158,2.872651,0
-0.877065,2.373278,-0.551829,2.524984,0
-0.810147,2.533346,-0.820616,2.538013,0
-0.829719,2.554263,-0.759057,2.893167,0
-0.807934,2.565901,-0.894432,2.590293,0
-0.494364,2.787035,-0.826941,2.767232,0
-0.278405,2.790525,-0.448761,2.810063,0
-0.658361,2.732591,-0.992874,2.661926,0
-0.741987,2.713073,-0.997412,2.561522,0
-0.390292,2.8698,-0.75058,2.845028,0
-0.844164,2.421102,-0.678521,2.493515,0
-0.57765,2.648575,-0.674227,2.564573,0
-0.64603,2.458921,-0.565688,2.594772,0
-0.40431,2.723119,-0.614267,2.775136,0
-0.729572,2.653995,-0.865196,2.584977,0
-0.788711,2.601794,-0.870796,2.471064,0
-0.568442,2.589241,-0.562388,2.476922,0
-0.388968,2.678703,-0.567411,2.637012,0
-0.6809,2.589232,-0.719637,2.474519,0
-1.043797,2.283856,-0.508697,2.351778,0
-0.350946,2.643852,-0.46798,2.71825,0
-0.903051,2.473578,-0.623666,2.486687,0
-0.749785,2.55884,-0.661768,2.70191,0
-0.334915,2.604511,-0.408656,2.520411,0
0.01469,3.184054,-0.797966,2.740816,0
-0.681618,2.632365,-0.740866,2.459371,0
-0.570265,2.537962,-0.465358,2.571447,0
-0.84384,2.512351,-0.855589,2.675503,0
-0.759295,2.335294,-0.455724,2.606966,0
-0.128347,2.983538,-0.786185,2.488957,0
-0.571078,2.551264,-0.543619,2.669542,0
-0.458766,2.743678,-0.6845,2.675761,0
-0.739931,2.448135,-0.507657,2.895382,0
-0.340074,2.86629,-0.799763,2.569169,0
-0.991159,2.335987,-0.680959,2.589556,0
-0.563223,2.608311,-0.627769,2.5679,0
-0.351413,2.717483,-0.557718,2.668516,0
-0.625642,2.501163,-0.37547,2.571415,0
-1.056188,2.236076,-0.61868,2.297887,0
-0.650185,2.52963,-0.577894,2.587954,0
-1.029662,2.266265,-0.562675,2.556984,0
-0.291954,2.904527,-0.70024,2.64505,0
-0.584814,2.611654,-0.659786,2.817525,0
-0.505917,2.719058,-0.829289,2.665285,0
-0.083059,2.89635,-0.507591,2.666878,0
-0.640013,2.460787,-0.433777,2.740976,0
-0.064477,3.060794,-0.702689,2.655333,0
-0.267601,2.794615,-0.720429,2.54835,0
-0.432149,2.686518,-0.726944,2.522997,0
-0.414283,2.832561,-0.842593,2.622195,0
-0.850078,2.549627,-0.868865,2.771479,0
-0.647544,2.428288,-0.380779,2.554036,0
-1.106428,2.098411,-0.566161,2.400835,0
-0.822459,2.413272,-0.439277,2.619399,0
-0.79134,2.505804,-0.734348,2.477802,0
-0.837771,2.377725,-0.45535,2.486319,0
-0.37722,2.784519,-0.584584,2.540421,0
-0.72657,2.514551,-0.6912,2.505876,0
-1.214505,2.003678,-0.311027,2.484157,0
-0.876692,2.413297,-0.586841,2.593345,0
-0.79388,2.441857,-0.550374,2.321711,0
-0.510439,2.739444,-0.711138,2.667409,0
-0.680285,2.496292,-0.644886,2.779191,0
-0.963812,2.356386,-0.795676,2.705001,0
-0.797332,2.391469,-0.400339,2.829722,0
-0.349258,2.77386,-0.394169,2.617922,0
-0.699526,2.540545,-0.648041,2.78768,0
-0.911361,2.324309,-0.515227,2.677299,0
-0.689778,2.64228,-0.859433,2.748833,0
-0.530508,2.585302,-0.513433,2.906427,0
-0.693162,2.544252,-0.648887,2.58418,0
0.00201,2.953582,-0.263531,2.999953,0
-0.476101,2.668055,-0.419126,2.84322,0
-0.677096,2.359144,-0.353124,2.673937,0
-0.725924,2.430677,-0.475062,2.534971,0
-0.564082,2.626187,-0.620723,2.684315,0
-0.13015,2.80216,-0.34083,2.849313,0
-0.389926,2.812673,-0.701439,2.481744,0
-0.349552,2.792866,-0.607323,2.750684,0
-0.918467,2.457925,-0.747383,2.533538,0
-0.218782,2.762054,-0.299912,2.602893,0
-0.953259,2.226782,-0.366913,2.819824,0
-0.658663,2.431804,-0.235737,2.626669,0
-0.266665,2.816596,-0.570073,2.658756,0
-1.301308,2.11861,-0.597828,2.244555,0
-0.416239,2.63392,-0.438601,2.527031,0
-1.005435,2.463521,-0.831594,2.501247,0
-0.17505,2.998352,-0.782253,2.803786,0
-0.790056,2.569326,-0.80486,2.574391,0
-0.680198,2.603151,-0.700996,2.741264,0
-0.327571,2.904261,-0.799833,2.506165,0
-0.233661,2.958002,-0.740697,2.605689,0
-0.731516,2.544857,-0.619899,2.430708,0
-0.111077,2.883562,-0.521458,2.478931,0
-0.787103,2.442619,-0.654021,2.669693,0
-0.286286,2.584872,-0.148011,2.80783,0
-1.070362,2.404203,-0.870241,2.347076,0
-0.604754,2.60514,-0.667743,2.514511,0
-1.059924,2.415609,-0.704516,2.668263,0
-0.465769,2.758136,-0.822941,2.756581,0
-0.233145,2.874493,-0.44551,2.652528,0
-0.417537,2.689474,-0.615527,2.509919,0
-0.709438,2.473474,-0.549759,2.639773,0
-0.545498,2.491965,-0.308581,2.639163,0
-0.550405,2.704407,-0.6703,2.661102,0
-0.392123,2.79474,-0.763104,2.54178,0
-0.518879,2.718136,-0.731864,2.526056,0
-0.670627,2.527976,-0.525894,2.469545,0
-0.679422,2.605737,-0.762923,2.617042,0
-0.250141,2.736955,-0.418088,2.75901,0
-1.121185,2.265796,-0.765391,2.359211,0
-0.869887,2.486044,-0.759758,2.480042,0
-1.191339,2.265847,-0.798413,2.232848,0
-0.670807,2.722475,-0.912338,2.559526,0
-0.371789,2.684648,-0.611696,2.5976,0
-0.245151,2.799754,-0.611918,2.637438,0
-0.004799,3.069054,-0.714483,2.626509,0
-0.469767,2.654591,-0.614519,2.477477,0
-1.100187,2.180056,-0.278208,2.827683,0
-0.018928,3.105067,-0.816147,2.507282,0
-1.153681,2.238681,-0.594946,2.518924,0
-0.555552,2.477167,-0.341727,2.848009,0
-0.504839,2.521152,-0.315028,2.686804,0
-0.778424,2.371032,-0.418171,2.502924,0
-0.918822,2.263176,-0.419057,2.359511,0
-0.781571,2.481362,-0.686629,2.608569,0
-0.606849,2.543587,-0.675699,2.587399,0
-1.284233,2.033321,-0.576374,2.475634,0
-0.227001,2.743096,-0.416494,2.80971,0
-0.843986,2.495053,-0.755073,2.539081,0
-0.342747,2.855676,-0.6445,2.690959,0
-0.287357,2.850031,-0.680571,2.710093,0
-0.831828,2.392642,-0.497329,2.615816,0
-0.579203,2.599078,-0.542134,2.613905,0
-0.566506,2.650486,-0.501019,2.657905,0
-0.110929,3.010614,-0.773637,2.772624,0
-0.011799,2.896031,-0.360956,2.807021,0
-0.39441,2.830164,-0.791362,2.518265,0
-0.357591,2.723287,-0.411767,2.743291,0
-0.838389,2.521819,-0.66229,2.337604,0
-0.264065,2.840476,-0.640952,2.78983,0
-0.593439,2.530594,-0.569806,2.634561,0
-0.231185,2.856148,-0.777208,2.698495,0
-0.88237,2.26819,-0.394695,2.634407,0
-0.615277,2.708445,-0.809321,2.55537,0
-0.830559,2.285712,-0.266776,2.546667,0
-0.337643,2.827464,-0.792658,2.619995,0
-0.633442,2.433564,-0.357993,2.467304,0
-0.804337,2.514606,-0.729857,2.461762,0
2.759596,-0.341444,2.517466,-0.594326,1
2.589515,-0.779013,2.582166,-0.50466,1
2.575076,-0.556528,2.541534,-0.521358,1
2.177727,-0.772399,2.617419,-0.334973,1
2.385628,-0.868816,2.521569,-0.269195,1
2.251419,-0.795192,2.624213,-0.332497,1
2.295635,-0.597425,2.475054,-0.096755,1
2.08986,-0.828744,2.688141,-0.397573,1
2.241701,-0.556613,2.535992,-0.172463,1
2.729881,-0.683964,2.490778,-0.557713,1
2.417523,-0.454037,2.595772,-0.461338,1
3.109804,-0.379857,2.67709,-1.13567,1
2.65079,-0.994028,2.665111,-0.773689,1
2.853253,-0.703286,2.600222,-0.753271,1
2.396607,-1.019273,2.669015,-0.586687,1
2.584944,-0.655755,2.58353,-0.551496,1
3.014445,-0.907796,2.631424,-0.983105,1
2.66796,-0.662776,2.452205,-0.353503,1
2.526558,-0.539977,2.599867,-0.565155,1
2.745336,-0.484018,2.6498,-0.819832,1
2.670797,-0.615207,2.617653,-0.717508,1
2.837143,-0.962436,2.600529,-0.770501,1
2.3638,-0.52705,2.647069,-0.54898,1
2.431701,-0.52141,2.58582,-0.460667,1
2.266173,-0.764682,2.761495,-0.68934,1
2.864059,-0.40899,2.638215,-0.890989,1
