X1,X2,X3,X4,Y
-0.229496,-0.780159,-0.81087,-1.203164,0
-0.225495,-0.903889,-0.810175,-1.120398,0
-0.483144,-0.583025,-0.64091,-0.451488,0
-0.465141,-0.843225,-0.66247,-0.589134,0
-0.706226,-0.75139,-0.561468,-0.593342,0
-0.948892,-0.465048,-0.43378,-0.371189,0
-0.101649,-1.094368,-0.859364,-1.061156,0
-1.041556,0.078516,-0.4068,-0.677109,0
-0.436076,-0.694308,-0.703834,-0.973098,0
-0.762809,-0.513868,-0.525077,-0.513303,0
-0.809238,-0.590745,-0.519546,-0.653937,0
-1.05194,-0.109967,-0.39058,-0.518873,0
-0.477247,-0.562645,-0.655877,-0.681187,0
-0.648405,-0.656213,-0.616981,-0.955833,0
-0.595148,-0.371,-0.575047,-0.308413,0
-0.557146,-0.715493,-0.634514,-0.807158,0
-0.637591,-0.647269,-0.590228,-0.634148,0
-0.520328,-0.762605,-0.625166,-0.517867,0
-0.524016,-0.566577,-0.62483,-0.606639,0
-0.674752,-0.994468,-0.544009,-0.091696,0
-0.23486,-0.974843,-0.777312,-0.718923,0
-0.261316,-0.810445,-0.786481,-0.918292,0
-0.799627,-0.448998,-0.494172,-0.394842,0
-0.182089,-1.130293,-0.815408,-0.972359,0
-0.573906,-0.685989,-0.616636,-0.65152,0
-0.543871,-0.690906,-0.672445,-1.14806,0
-0.840796,-0.1009,-0.468874,-0.392511,0
-0.616374,-0.518516,-0.583625,-0.51907,0
-0.506506,-0.841828,-0.667186,-0.84846,0
-0.541605,-0.698811,-0.61725,-0.613869,0
-0.923189,-0.292534,-0.450698,-0.599599,0
-0.465912,-0.912979,-0.685814,-0.683666,0
-0.520947,-0.628491,-0.651321,-0.800436,0
-0.59764,-0.617278,-0.642754,-0.965968,0
-0.618619,-0.594115,-0.589338,-0.46369,0
-0.420714,-0.79301,-0.688106,-0.660845,0
-0.695184,-0.543322,-0.584031,-0.972136,0
-0.685336,-0.65709,-0.58579,-0.861441,0
-0.571017,-0.694241,-0.649625,-1.004602,0
-0.900936,-0.422613,-0.473782,-0.645513,0
-0.340027,-0.843952,-0.710594,-0.472292,0
-0.549985,-0.434099,-0.626814,-0.708581,0
-0.834036,-0.424373,-0.471592,-0.240304,0
-0.824999,-0.255622,-0.444779,-0.047363,0
-0.425516,-0.645466,-0.667776,-0.550316,0
-0.509666,-0.562802,-0.629052,-0.450704,0
-0.519861,-0.613407,-0.641456,-0.676396,0
-0.926004,-0.572729,-0.457572,-0.551035,0
-0.581447,-0.533417,-0.58878,-0.429484,0
-0.469885,-0.610767,-0.663434,-0.694153,0
-0.708699,-0.36029,-0.517009,-0.281862,0
-0.553941,-0.826634,-0.634202,-0.767927,0
-0.661726,-0.690346,-0.581672,-0.63675,0
-0.600953,-0.519126,-0.606362,-0.674285,0
-0.367644,-0.836895,-0.712088,-0.708958,0
-0.360747,-1.076403,-0.735149,-0.790082,0
-0.692013,-0.562884,-0.543229,-0.313606,0
-0.065318,-0.926164,-0.887574,-1.266407,0
-0.56694,-0.629643,-0.630902,-0.811362,0
-0.528331,-0.641172,-0.650927,-0.774854,0
-0.772747,-0.172196,-0.558439,-1.174868,0
-0.507293,-0.754802,-0.686896,-1.035675,0
-0.546814,-0.656072,-0.631448,-0.612,0
-0.77802,-0.309646,-0.489848,-0.331307,0
-0.762527,-0.470994,-0.522546,-0.55401,0
-0.772284,-0.359222,-0.51813,-0.370821,0
-0.486065,-0.910067,-0.677497,-0.881331,0
-0.75643,-0.442218,-0.563832,-1.114291,0
