X1,X2,X3,X4,Y
0.582442,1.617866,1.580509,0.475332,0
0.529984,1.680974,1.552265,0.515669,0
0.497454,1.557466,1.295593,0.41468,0
0.378579,1.679751,1.939653,0.489651,0
0.662562,1.438194,1.160705,0.342215,0
0.02229,1.412194,1.767741,0.118568,0
0.529856,1.593718,1.684538,0.469999,0
0.365506,1.540054,1.636266,0.370357,0
0.624115,1.425492,1.703942,0.378342,0
0.392868,1.500676,1.77367,0.344207,0
0.461916,1.777158,1.305967,0.534706,0
0.303607,1.307739,1.621538,0.093592,0
0.385713,1.567015,1.714964,0.367492,0
0.642609,1.893359,1.365913,0.667516,0
0.56388,1.818368,1.594041,0.631723,0
-0.012599,1.443263,2.155714,0.161656,0
-0.05936,1.543514,1.993749,0.186447,0
0.026156,1.274187,1.654478,-0.009332,0
0.325371,1.692179,1.708044,0.498108,0
0.648622,1.520364,1.323762,0.412374,0
0.821995,1.54115,1.161642,0.49399,0
0.478581,1.496261,1.503837,0.34043,0
0.480109,1.416002,1.353807,0.207242,0
0.386938,1.759311,1.414551,0.489476,0
0.445392,1.439996,1.845393,0.315457,0
0.615696,1.430481,1.351247,0.351296,0
0.388488,1.949571,1.747905,0.599025,0
0.349285,1.955889,1.942428,0.670603,0
-0.116578,1.714377,2.000408,0.273896,0
0.636176,1.474489,1.459276,0.37993,0
0.389826,1.949586,1.82316,0.671132,0
0.240399,1.412712,1.430266,0.180656,0
0.169239,1.762875,1.635203,0.406738,0
0.169945,1.507226,1.73431,0.284168,0
0.286328,1.491722,1.869354,0.316401,0
0.340525,1.72456,1.620231,0.490629,0
0.322422,1.846745,1.785946,0.597249,0
0.196192,1.662364,1.60124,0.297123,0
0.366722,1.768805,1.472712,0.509231,0
0.726783,1.384093,1.013464,0.339781,0
0.814148,1.316837,1.337599,0.332417,0
0.319004,1.823827,1.624212,0.547272,0
0.613666,1.701207,1.75141,0.551347,0
0.9368,1.739419,1.693212,0.759959,0
0.65094,1.523398,1.639089,0.38729,0
0.389332,1.790654,1.648743,0.530503,0
